股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號
漢磊,2026-01-21,5000,-329131.0,沖買,65.8,329000,131,0,0,0,0,0,0,aC542
漢磊,2026-01-21,5000,-325129.0,沖買,65.0,325000,129,0,0,0,0,0,0,aC584
漢磊,2026-01-21,20000,1335460.0,沖賣,66.9,1338000,533,2007,0,0,0,0,0,aC861
聯電,2026-01-21,9000,-623048.0,現買,69.2,622800,248,0,0,0,0,0,0,aD328
台達電,2026-01-22,1000,1240769.0,現賣,1245.0,1245000,496,3735,0,0,0,0,0,aD095
群創,2026-01-22,20000,-565225.0,沖買,28.25,565000,225,0,0,0,0,0,0,a4558
群創,2026-01-22,20000,-556221.0,沖買,27.8,556000,221,0,0,0,0,0,0,a5481
群創,2026-01-22,20000,-564225.0,沖買,28.2,564000,225,0,0,0,0,0,0,a6115
群創,2026-01-22,20000,-562224.0,沖買,28.1,562000,224,0,0,0,0,0,0,a7223
群創,2026-01-22,80000,2203808.0,沖賣,27.6,2208000,880,3312,0,0,0,0,0,a9761
聯電,2026-01-22,9000,635035.0,現賣,70.8,637200,254,1911,0,0,0,0,0,a2922
英業達,2026-01-22,20000,-982391.0,現買,49.1,982000,391,0,0,0,0,0,0,a6443
