config,date,close,z,stretch,ret30,ret60,dist_high
similar_now_strict,2026-01-28,32803.8203125,2.286884295352924,30.917377581103377,17.71590621811674,15.773055101186916,0.0
hot_near_high,2020-07-28,12586.73046875,1.7326721076173173,11.452522633879326,10.120700507396485,14.506646306473803,-0.01246662346662264
hot_near_high,2020-12-07,14256.599609375,2.334058440762194,19.76089742036784,10.43896642422746,13.070619538747263,0.0
hot_near_high,2021-04-26,17572.2890625,1.9165024937119044,24.459738488235505,10.436485603198808,12.524658119414923,0.0
hot_near_high,2023-06-14,17238.140625,1.5913448628800717,15.194529833100766,10.831904076502518,13.251459106054252,0.0
hot_near_high,2024-03-07,19693.51953125,1.6761837532834272,15.15821257920722,12.234120943386738,12.932244004688398,0.0
hot_near_high,2024-06-14,22504.720703125,1.8885750454409418,22.267240539198973,11.285884946226489,13.20367681510104,0.0
hot_near_high,2025-10-07,27211.94921875,1.5403422418524084,19.62321342274698,14.506860088289963,19.607552096501134,0.0
hot_near_high,2026-01-08,30360.55078125,1.7965055118147903,24.93013929867871,12.81346271737105,12.766323406716861,-0.7056118447536397
stretch_only,2019-11-05,11644.0302734375,1.8674742341489161,9.748916746359937,6.877932065054915,11.71037212284698,0.0
stretch_only,2020-07-30,12722.919921875,1.883785918968917,12.49168513566563,10.52222194604493,18.082413254322116,0.0
stretch_only,2020-11-17,13593.009765625,1.891283786386652,15.718320932944675,8.32567865414202,9.952325329995393,0.0
stretch_only,2021-02-24,16212.5302734375,2.2058068456050015,23.946130286966884,8.79410372918068,18.197795970064725,-1.4040290432818736
stretch_only,2024-04-09,20796.19921875,1.9148737569003262,18.865184347529194,10.30840011051919,16.480783273393595,0.0
stretch_only,2024-07-09,23900.080078125,2.0438910262437946,26.027671716898414,9.614440951921122,15.255703898720597,0.0
stretch_only,2025-10-29,28294.740234375,1.8110476300966578,22.701047465089587,12.210757430185982,20.185692940880728,0.0
stretch_only,2026-01-28,32803.8203125,2.286884295352924,30.917377581103377,17.71590621811674,15.773055101186916,0.0
