config,plan,n,avg_return_3m_pct,median_return_3m_pct,win_rate,avg_max_dd_3m_pct,worst_max_dd_3m_pct,avg_fully_deployed_day
hot_near_high,immediate_40,8,7.8921812659728126,7.422234487149937,62.5,-9.777081486760409,-21.301502882984302,0.0
hot_near_high,dip_3_6_10_time,8,7.174464950769067,6.57885542491794,62.5,-8.430596784802411,-20.225750225816153,41.125
hot_near_high,time_5_weekly,8,6.929056371358278,6.399920232681577,62.5,-8.181479882008109,-17.800680523659306,49.0
hot_near_high,wait_20d_then_all,8,6.745467240896618,6.3458598519828815,62.5,-9.033549356566976,-20.347765146717645,20.0
hot_near_high,time_10_monthly,8,6.464111651684789,6.1343657008192665,62.5,-7.809582759996989,-17.1651021672631,63.0
hot_near_high,dip_5_10_15_or_end,8,6.2050523581535915,5.884016743371056,62.5,-6.99476201114147,-18.25365909343025,59.25
hot_near_high,wait_40d_then_all,8,6.547740313873597,5.481230954158766,62.5,-6.655134883309287,-13.381502000496958,40.0
hot_near_high,cash_wait,8,4.7353087595836865,4.453340692289953,62.5,-6.072762422184427,-13.381502000496958,
similar_now_strict,wait_20d_then_all,1,30.951235695740074,30.951235695740074,100.0,-7.48081675500959,-7.48081675500959,20.0
similar_now_strict,dip_3_6_10_time,1,30.831123864074538,30.831123864074538,100.0,-9.189564005957918,-9.189564005957918,21.0
similar_now_strict,immediate_40,1,30.52560978092531,30.52560978092531,100.0,-10.844119391607732,-10.844119391607732,0.0
similar_now_strict,time_5_weekly,1,28.535735847080133,28.535735847080133,100.0,-8.804860839030958,-8.804860839030958,49.0
similar_now_strict,dip_5_10_15_or_end,1,27.270086980118812,27.270086980118812,100.0,-7.58900420462949,-7.58900420462949,63.0
similar_now_strict,wait_40d_then_all,1,27.229508396824897,27.229508396824897,100.0,-6.737274277931893,-6.737274277931893,40.0
similar_now_strict,time_10_monthly,1,26.24072438866638,26.24072438866638,100.0,-8.146730006285875,-8.146730006285875,63.0
similar_now_strict,cash_wait,1,18.315365868555176,18.315365868555176,100.0,-6.737274277931893,-6.737274277931893,
stretch_only,wait_20d_then_all,8,12.627454656875843,11.471246588543993,87.5,-7.654921987647099,-12.91080585162786,20.0
stretch_only,dip_3_6_10_time,8,11.460675667716158,9.95044465885544,75.0,-8.424927761264442,-18.878755733065933,42.75
stretch_only,immediate_40,8,11.425295070555459,9.90752352315314,75.0,-9.9164481991564,-21.301502882984302,0.0
stretch_only,time_5_weekly,8,10.963237849158569,9.767356997151378,87.5,-8.165708512601041,-15.391620408586748,49.0
stretch_only,wait_40d_then_all,8,10.374971546758543,9.0878394343893,87.5,-7.324877210315601,-12.91080585162786,40.0
stretch_only,time_10_monthly,8,10.083316688338806,8.893550210679935,87.5,-7.761280698288448,-15.024430033296433,63.0
stretch_only,dip_5_10_15_or_end,8,9.901488774725577,8.06611865368414,87.5,-6.920525236708556,-17.17344890159468,57.25
stretch_only,cash_wait,8,6.85517704233327,5.9445141138918745,75.0,-6.079532481566781,-12.91080585162786,
