core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A5_narrow,R2_standard,7,90,6.2452,1.6234,0.115880,0.144278,-28.9619,23,9,14,1062452.26
0.40,A1_aggressive,R4_xconservative,3,90,6.2413,1.6224,0.114733,0.147462,-28.9619,27,12,15,1062413.26
0.40,A3_conservative,R4_xconservative,5,90,6.2394,1.6219,0.114473,0.147288,-24.2849,25,10,15,1062393.96
0.30,A1_aggressive,R3_conservative,5,90,6.2407,1.6222,0.114257,0.144496,-28.9619,28,11,17,1062406.87
0.30,A1_aggressive,R3_conservative,3,90,6.2024,1.6125,0.113472,0.143489,-28.9619,30,12,18,1062023.73
0.60,A4_xconservative,R4_xconservative,3,90,6.1771,1.6061,0.113077,0.142815,-25.8892,22,7,15,1061770.87
0.70,A5_narrow,R4_xconservative,7,90,6.0593,1.5761,0.113024,0.142247,-28.9619,22,9,13,1060592.66
0.60,A4_xconservative,R3_conservative,7,90,6.1584,1.6013,0.112545,0.141283,-25.8892,20,6,14,1061584.36
0.40,A3_conservative,R3_conservative,5,90,6.1247,1.5927,0.112021,0.142663,-24.2849,27,10,17,1061247.20
0.60,A3_conservative,R2_standard,5,90,6.1179,1.5910,0.111738,0.140844,-25.8508,26,10,16,1061179.41
0.70,A3_conservative,R2_standard,7,90,6.0798,1.5813,0.111709,0.139217,-26.5487,24,10,14,1060797.82
0.30,A1_aggressive,R4_xconservative,5,90,6.1013,1.5868,0.111545,0.142830,-28.9619,26,11,15,1061013.44
0.60,A3_conservative,R3_conservative,3,90,6.1047,1.5876,0.111475,0.140123,-25.7813,29,11,18,1061047.44
0.70,A1_aggressive,R2_standard,5,90,5.9150,1.5393,0.110063,0.139432,-28.9619,27,11,16,1059150.40
0.50,A5_narrow,R4_xconservative,3,90,5.9828,1.5566,0.109952,0.139522,-28.9619,25,10,15,1059828.22
0.50,A5_narrow,R2_standard,5,90,6.0093,1.5634,0.109927,0.138205,-28.9619,25,9,16,1060093.31
0.70,A3_conservative,R4_xconservative,7,90,5.9387,1.5454,0.109370,0.137617,-26.5487,23,10,13,1059387.05
0.30,A1_aggressive,R4_xconservative,3,90,5.9568,1.5500,0.108659,0.139061,-28.9619,27,12,15,1059567.78
0.50,A5_narrow,R3_conservative,3,90,5.9353,1.5445,0.108489,0.136089,-28.9619,28,10,18,1059353.46
0.60,A1_aggressive,R2_standard,5,90,5.8903,1.5330,0.108486,0.138016,-28.9619,27,11,16,1058902.72
0.60,A4_xconservative,R2_standard,7,90,5.9487,1.5479,0.108065,0.135451,-25.8892,20,6,14,1059486.87
0.30,A5_narrow,R3_conservative,5,90,5.9368,1.5449,0.107702,0.134885,-28.9619,26,9,17,1059367.75
0.60,A4_xconservative,R3_conservative,3,90,5.9144,1.5392,0.107323,0.134460,-25.8892,25,7,18,1059143.72
0.60,A5_narrow,R3_conservative,7,90,5.8330,1.5184,0.107119,0.134225,-28.9619,23,9,14,1058330.15
0.50,A1_aggressive,R2_standard,5,90,5.8387,1.5199,0.106633,0.135769,-28.9619,27,11,16,1058387.00
0.70,A4_xconservative,R2_standard,3,90,5.8023,1.5106,0.106061,0.131964,-26.6873,23,7,16,1058022.53
0.70,A1_aggressive,R4_xconservative,7,60,5.3239,1.3884,0.104517,0.130267,-29.7738,30,14,16,1053239.22
0.40,A1_aggressive,R2_standard,5,90,5.7606,1.5000,0.104411,0.132793,-28.9619,27,11,16,1057606.46
0.30,A5_narrow,R4_xconservative,5,90,5.7540,1.4983,0.104273,0.132164,-28.9619,24,9,15,1057539.76
0.70,A5_narrow,R2_standard,3,90,5.5897,1.4563,0.103705,0.129181,-28.9619,26,10,16,1055896.52
0.60,A4_xconservative,R4_xconservative,7,90,5.7169,1.4888,0.103526,0.131001,-25.8892,19,6,13,1057169.10
0.50,A3_conservative,R2_standard,5,90,5.7646,1.5010,0.103520,0.131169,-25.0687,26,10,16,1057646.31
0.70,A1_aggressive,R3_conservative,7,90,5.5556,1.4476,0.103444,0.130878,-28.9619,25,11,14,1055555.72
0.70,A2_standard,R4_xconservative,7,60,5.2790,1.3769,0.103412,0.128765,-29.6170,30,14,16,1052789.58
0.40,A5_narrow,R2_standard,5,90,5.6942,1.4830,0.102897,0.129399,-28.9619,25,9,16,1056942.22
0.50,A3_conservative,R4_xconservative,3,90,5.7155,1.4884,0.102694,0.131086,-24.9837,26,11,15,1057154.69
0.60,A5_narrow,R2_standard,7,90,5.6026,1.4596,0.102595,0.128274,-28.9619,23,9,14,1056025.53
0.30,A1_aggressive,R2_standard,3,90,5.6547,1.4729,0.101819,0.128629,-28.9619,28,12,16,1056546.50
0.30,A1_aggressive,R2_standard,5,90,5.6564,1.4734,0.101738,0.128564,-28.9619,27,11,16,1056564.28
0.40,A1_aggressive,R2_standard,3,90,5.6145,1.4627,0.101489,0.128987,-28.9619,28,12,16,1056144.58
0.50,A4_xconservative,R4_xconservative,5,90,5.6466,1.4709,0.101008,0.128563,-25.0900,21,6,15,1056466.36
0.50,A1_aggressive,R2_standard,3,90,5.5483,1.4457,0.100918,0.128411,-28.9619,28,12,16,1055482.61
0.70,A2_standard,R4_xconservative,5,90,5.3852,1.4041,0.100489,0.126967,-28.9619,25,10,15,1053851.62
0.60,A3_conservative,R3_conservative,7,90,5.5868,1.4556,0.100414,0.126127,-25.7432,24,10,14,1055868.44
0.60,A1_aggressive,R2_standard,3,90,5.4558,1.4221,0.100216,0.127361,-28.9619,28,12,16,1054558.31
0.30,A1_aggressive,R1_aggressive,5,90,5.5771,1.4531,0.099793,0.126244,-28.9619,28,13,15,1055770.86
0.70,A1_aggressive,R2_standard,3,90,5.3369,1.3917,0.099487,0.125846,-28.9619,28,12,16,1053369.42
0.50,A3_conservative,R3_conservative,3,90,5.5854,1.4552,0.099467,0.125668,-24.9837,29,11,18,1055853.80
0.70,A1_aggressive,R2_standard,7,90,5.2981,1.3818,0.098650,0.124572,-28.9619,25,11,14,1052981.47
0.70,A5_narrow,R5_narrow,5,90,5.3227,1.3881,0.098632,0.123445,-28.9619,22,9,13,1053226.51
0.70,A3_conservative,R2_standard,3,90,5.4111,1.4107,0.098518,0.122827,-26.5779,27,11,16,1054110.62
0.60,A5_narrow,R4_xconservative,7,90,5.3452,1.3938,0.098492,0.124636,-28.9619,22,9,13,1053451.55
0.40,A5_narrow,R3_conservative,3,90,5.4765,1.4274,0.098412,0.123455,-28.9619,28,10,18,1054765.41
0.30,A1_aggressive,R1_aggressive,3,90,5.4793,1.4281,0.097860,0.123737,-28.9619,30,14,16,1054792.53
0.60,A4_xconservative,R2_standard,5,90,5.4709,1.4260,0.097801,0.122711,-25.8892,22,6,16,1054709.11
0.60,A5_narrow,R2_standard,3,90,5.3415,1.3929,0.097601,0.122248,-28.9619,26,10,16,1053414.54
0.30,A3_conservative,R3_conservative,5,90,5.5240,1.4395,0.097249,0.123633,-23.4993,27,10,17,1055239.96
0.40,A5_narrow,R4_xconservative,3,90,5.3563,1.3967,0.096763,0.122616,-28.9619,25,10,15,1053563.10
0.70,A1_aggressive,R4_xconservative,7,90,5.1310,1.3390,0.096610,0.123284,-28.9619,24,11,13,1051310.00
0.60,A3_conservative,R2_standard,7,90,5.3657,1.3991,0.095670,0.119920,-25.7432,24,10,14,1053657.33
0.60,A5_narrow,R5_narrow,5,90,5.2415,1.3673,0.095554,0.120262,-28.9619,22,9,13,1052414.95
0.30,A3_conservative,R4_xconservative,5,90,5.4517,1.4211,0.095481,0.122832,-23.4993,25,10,15,1054517.25
0.30,A5_narrow,R2_standard,5,90,5.3542,1.3961,0.095104,0.119014,-28.9619,25,9,16,1053541.87
0.70,A4_xconservative,R5_narrow,5,90,5.2245,1.3629,0.094470,0.117979,-26.6873,19,6,13,1052244.50
0.50,A4_xconservative,R3_conservative,5,90,5.3685,1.3998,0.094308,0.118834,-25.0900,23,6,17,1053685.49
0.70,A3_conservative,R5_narrow,5,90,5.1928,1.3548,0.094137,0.117962,-26.6311,23,10,13,1051927.67
0.30,A5_narrow,R1_aggressive,3,90,5.3080,1.3843,0.093938,0.117347,-28.9619,27,11,16,1053080.11
0.40,A3_conservative,R2_standard,5,90,5.3785,1.4023,0.093882,0.119441,-24.2849,26,10,16,1053784.97
0.70,A4_xconservative,R5_narrow,7,90,5.1698,1.3489,0.093401,0.116522,-26.6873,19,6,13,1051698.16
0.70,A1_aggressive,R4_xconservative,5,60,4.6013,1.2030,0.092808,0.115596,-29.6298,30,14,16,1046013.17
0.70,A2_standard,R4_xconservative,5,60,4.6054,1.2041,0.092519,0.115119,-29.3436,30,14,16,1046054.20
0.60,A3_conservative,R4_xconservative,7,90,5.1673,1.3483,0.092157,0.116765,-25.7432,23,10,13,1051672.74
0.50,A5_narrow,R5_narrow,5,90,5.1352,1.3401,0.092144,0.116138,-28.9619,22,9,13,1051352.43
0.50,A5_narrow,R3_conservative,7,90,5.1380,1.3408,0.092116,0.115343,-28.9619,23,9,14,1051380.23
0.30,A5_narrow,R1_aggressive,5,90,5.2133,1.3601,0.091704,0.114656,-28.9619,25,10,15,1052132.84
0.60,A1_aggressive,R3_conservative,7,90,5.0226,1.3112,0.091638,0.116296,-28.9619,25,11,14,1050225.64
0.40,A5_narrow,R1_aggressive,3,90,5.1684,1.3486,0.091570,0.114844,-28.9619,27,11,16,1051684.32
0.50,A5_narrow,R2_standard,3,90,5.0688,1.3230,0.090897,0.113953,-28.9619,26,10,16,1050688.12
0.30,A1_aggressive,R5_narrow,5,90,5.1497,1.3438,0.090832,0.114854,-28.9619,24,11,13,1051496.74
0.40,A1_aggressive,R1_aggressive,3,90,5.0946,1.3297,0.090339,0.114794,-28.9619,30,14,16,1050945.90
0.40,A1_aggressive,R5_narrow,5,90,5.0702,1.3234,0.089980,0.114563,-28.9619,24,11,13,1050702.44
0.60,A3_conservative,R2_standard,3,90,5.0879,1.3279,0.089873,0.112881,-25.7813,27,11,16,1050879.40
0.50,A5_narrow,R1_aggressive,3,90,5.0036,1.3063,0.089114,0.111765,-28.9619,27,11,16,1050036.36
0.60,A3_conservative,R5_narrow,5,90,5.0534,1.3191,0.089091,0.112465,-25.8508,23,10,13,1050533.95
0.50,A1_aggressive,R5_narrow,5,90,4.9660,1.2967,0.089024,0.113622,-28.9619,24,11,13,1049660.19
0.40,A1_aggressive,R1_aggressive,5,90,5.0254,1.3119,0.088592,0.112695,-28.9619,28,13,15,1050253.79
0.40,A5_narrow,R5_narrow,5,90,5.0043,1.3065,0.088348,0.111227,-28.9619,22,9,13,1050042.54
0.70,A2_standard,R3_conservative,5,90,4.7856,1.2504,0.088276,0.110517,-28.9619,27,10,17,1047856.29
0.60,A1_aggressive,R5_narrow,5,90,4.8368,1.2635,0.088067,0.112250,-28.9619,24,11,13,1048368.08
0.50,A5_narrow,R2_standard,7,90,4.9371,1.2893,0.087976,0.109896,-28.9619,23,9,14,1049371.47
0.30,A5_narrow,R3_conservative,3,90,4.9936,1.3038,0.087414,0.109143,-28.9619,28,10,18,1049935.87
0.70,A1_aggressive,R5_narrow,5,90,4.6824,1.2239,0.087202,0.110669,-28.9619,24,11,13,1046824.20
0.60,A1_aggressive,R2_standard,7,90,4.7939,1.2525,0.087151,0.110364,-28.9619,25,11,14,1047938.67
0.70,A4_xconservative,R1_aggressive,7,90,4.8642,1.2706,0.086869,0.108055,-26.6873,20,7,13,1048642.46
0.60,A5_narrow,R1_aggressive,3,90,4.8134,1.2575,0.086692,0.108373,-28.9619,27,11,16,1048134.32
0.50,A4_xconservative,R3_conservative,7,90,5.0337,1.3140,0.086606,0.109074,-25.0900,20,6,14,1050336.54
0.40,A5_narrow,R1_aggressive,5,90,4.9365,1.2891,0.086440,0.108556,-28.9619,25,10,15,1049365.09
0.60,A4_xconservative,R2_standard,3,90,4.9115,1.2827,0.085729,0.107385,-25.8892,23,7,16,1049115.41
0.50,A4_xconservative,R4_xconservative,3,90,4.9617,1.2956,0.085666,0.108870,-25.0900,22,7,15,1049616.60
0.40,A3_conservative,R4_xconservative,3,90,5.0119,1.3085,0.085592,0.109622,-24.1850,26,11,15,1050119.08
0.40,A3_conservative,R3_conservative,3,90,5.0337,1.3140,0.085497,0.108448,-24.1850,29,11,18,1050336.62
0.70,A5_narrow,R1_aggressive,3,90,4.5976,1.2021,0.084419,0.104970,-28.9619,27,11,16,1045976.32
0.30,A5_narrow,R5_narrow,5,90,4.8489,1.2666,0.084130,0.105347,-28.9619,22,9,13,1048488.83
0.60,A1_aggressive,R4_xconservative,7,90,4.5616,1.1928,0.084005,0.107647,-28.9619,24,11,13,1045615.94
0.60,A2_standard,R4_xconservative,5,90,4.5969,1.2019,0.083707,0.106364,-28.9619,25,10,15,1045968.85
0.40,A5_narrow,R2_standard,3,90,4.7722,1.2469,0.083571,0.104747,-28.9619,26,10,16,1047722.02
0.50,A3_conservative,R5_narrow,5,90,4.8813,1.2750,0.083341,0.105797,-25.0687,23,10,13,1048813.45
0.50,A1_aggressive,R1_aggressive,3,90,4.6844,1.2244,0.083055,0.105673,-28.9619,30,14,16,1046843.70
0.30,A3_conservative,R2_standard,5,90,4.9600,1.2951,0.082593,0.104929,-23.4993,26,10,16,1049599.96
0.50,A5_narrow,R4_xconservative,7,90,4.6069,1.2044,0.082588,0.104574,-28.9619,22,9,13,1046068.60
0.50,A4_xconservative,R2_standard,7,90,4.8593,1.2693,0.082557,0.103800,-25.0900,20,6,14,1048593.17
