core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.40,A6_wide,R4_xconservative,3,60,27.4620,23.5632,1.103625,1.226187,-21.9372,22,10,12,1274620.38
0.50,A6_wide,R4_xconservative,3,60,28.3905,24.3477,1.100953,1.236563,-22.0736,22,10,12,1283905.46
0.30,A6_wide,R4_xconservative,3,60,26.5328,22.7773,1.098975,1.201645,-21.8005,22,10,12,1265327.82
0.60,A6_wide,R4_xconservative,3,60,29.3182,25.1308,1.092745,1.232597,-22.2097,22,10,12,1293182.13
0.70,A6_wide,R4_xconservative,3,60,30.2449,25.9123,1.080701,1.215002,-22.3457,22,10,12,1302449.48
0.70,A1_aggressive,R4_xconservative,7,90,29.8631,25.5904,1.080355,1.220109,-22.0956,12,4,8,1298631.33
0.70,A6_wide,R4_xconservative,7,90,29.8631,25.5904,1.080355,1.220109,-22.0956,12,4,8,1298631.33
0.60,A1_aggressive,R4_xconservative,7,90,28.1893,24.1777,1.074404,1.205626,-21.8742,12,4,8,1281893.02
0.60,A6_wide,R4_xconservative,7,90,28.1893,24.1777,1.074404,1.205626,-21.8742,12,4,8,1281893.02
0.50,A1_aggressive,R4_xconservative,7,90,26.5205,22.7670,1.062119,1.185011,-21.6526,12,4,8,1265205.49
0.50,A6_wide,R4_xconservative,7,90,26.5205,22.7670,1.062119,1.185011,-21.6526,12,4,8,1265205.49
0.70,A6_wide,R4_xconservative,3,90,29.1510,24.9897,1.059167,1.185396,-22.2202,14,5,9,1291509.66
0.50,A6_wide,R1_aggressive,3,60,26.6552,22.8809,1.057814,1.176417,-22.0736,23,10,13,1266552.26
0.60,A6_wide,R4_xconservative,3,90,27.5989,23.6789,1.056654,1.180173,-22.0422,14,5,9,1275988.73
0.60,A6_wide,R1_aggressive,3,60,27.6714,23.7402,1.055218,1.173547,-22.2097,23,10,13,1276714.21
0.40,A6_wide,R1_aggressive,3,60,25.6424,22.0237,1.054876,1.161590,-21.9372,23,10,13,1256424.48
0.40,A6_wide,R3_conservative,3,60,25.9329,22.2696,1.053021,1.176587,-21.9372,22,10,12,1259328.77
0.50,A6_wide,R3_conservative,3,60,26.8521,23.0475,1.052612,1.181869,-22.0736,22,10,12,1268520.76
0.70,A1_aggressive,R4_xconservative,3,90,28.9426,24.8138,1.052609,1.178224,-22.3457,14,5,9,1289426.13
0.70,A6_wide,R1_aggressive,3,60,28.6910,24.6014,1.048637,1.166519,-22.3457,23,10,13,1286910.05
0.50,A6_wide,R4_xconservative,3,90,26.0463,22.3657,1.047924,1.163415,-21.8639,14,5,9,1260463.36
