core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A6_wide,R4_xconservative,7,90,21.6120,5.3389,0.377094,0.479395,-28.9619,29,14,15,1216119.77
0.70,A4_xconservative,R4_xconservative,7,90,20.2249,5.0181,0.376693,0.468344,-26.5487,21,9,12,1202249.06
0.70,A3_conservative,R4_xconservative,7,90,20.3888,5.0562,0.374980,0.471982,-26.5423,21,9,12,1203888.05
0.70,A5_narrow,R4_xconservative,7,90,20.9389,5.1836,0.370309,0.464848,-28.9619,23,11,12,1209388.61
0.60,A6_wide,R4_xconservative,7,90,20.2072,5.0140,0.365089,0.465093,-28.9619,29,14,15,1202071.75
0.60,A4_xconservative,R4_xconservative,7,90,17.8541,4.4636,0.351060,0.438411,-25.7432,21,9,12,1178540.97
0.60,A3_conservative,R4_xconservative,7,90,18.0753,4.5157,0.351006,0.444198,-25.7347,21,9,12,1180752.75
0.50,A6_wide,R4_xconservative,7,90,18.7848,4.6823,0.350163,0.445700,-28.9619,29,14,15,1187847.75
0.60,A5_narrow,R4_xconservative,7,90,18.8263,4.6920,0.345739,0.435131,-28.9619,23,11,12,1188263.37
0.30,A4_xconservative,R3_conservative,5,60,17.4718,4.3734,0.340526,0.431339,-20.2208,32,16,16,1174717.76
0.70,A6_wide,R3_conservative,7,90,19.2613,4.7937,0.340115,0.430428,-28.9619,30,14,16,1192612.54
0.30,A4_xconservative,R6_wide,5,60,17.2568,4.3226,0.338281,0.426104,-20.2208,36,16,20,1172568.25
0.30,A4_xconservative,R5_narrow,5,60,17.1489,4.2971,0.334167,0.423260,-20.2208,30,16,14,1171488.85
0.40,A6_wide,R4_xconservative,7,90,17.3461,4.3437,0.332028,0.420915,-28.9619,29,14,15,1173461.27
0.60,A6_wide,R3_conservative,7,90,18.1529,4.5339,0.330925,0.419845,-28.9619,30,14,16,1181528.76
0.70,A4_xconservative,R3_conservative,7,90,17.5504,4.3920,0.329570,0.408368,-26.5487,22,9,13,1175503.65
0.70,A3_conservative,R3_conservative,7,90,17.7106,4.4298,0.328690,0.412366,-26.5423,22,9,13,1177105.71
0.30,A4_xconservative,R2_standard,5,60,16.7277,4.1973,0.326528,0.410666,-20.2208,34,16,18,1167276.65
0.70,A5_narrow,R3_conservative,7,90,18.2188,4.5494,0.326182,0.408074,-28.9619,24,11,13,1182187.93
0.70,A6_wide,R3_conservative,5,90,18.3386,4.5776,0.324765,0.412307,-28.9619,33,15,18,1183386.41
0.40,A4_xconservative,R6_wide,5,60,16.8852,4.2346,0.323667,0.407873,-21.3762,36,16,20,1168852.49
0.70,A5_narrow,R3_conservative,5,90,18.0248,4.5038,0.322634,0.405190,-28.9619,26,11,15,1180248.35
0.50,A3_conservative,R4_xconservative,7,90,15.7584,3.9666,0.321387,0.408265,-24.9267,21,9,12,1157583.88
0.70,A4_xconservative,R3_conservative,5,90,17.1310,4.2928,0.321276,0.399784,-26.6311,24,9,15,1171309.62
0.60,A6_wide,R3_conservative,5,90,17.5226,4.3854,0.319495,0.407267,-28.9619,33,15,18,1175226.49
0.50,A4_xconservative,R4_xconservative,7,90,15.4835,3.9009,0.319436,0.400276,-24.9370,21,9,12,1154835.09
0.50,A6_wide,R3_conservative,7,90,17.0256,4.2679,0.319356,0.404610,-28.9619,30,14,16,1170256.03
0.70,A5_narrow,R4_xconservative,3,90,17.7699,4.4438,0.317901,0.399129,-28.9619,28,12,16,1177699.06
0.70,A1_aggressive,R4_xconservative,7,90,17.9004,4.4745,0.317701,0.404281,-28.9619,26,13,13,1179004.14
0.70,A5_narrow,R3_conservative,3,90,17.7150,4.4308,0.317285,0.397755,-28.9619,27,12,15,1177150.16
0.50,A5_narrow,R4_xconservative,7,90,16.7147,4.1942,0.316968,0.398772,-28.9619,23,11,12,1167146.74
0.40,A4_xconservative,R3_conservative,5,60,16.5894,4.1644,0.316393,0.400693,-21.3762,32,16,16,1165894.13
0.70,A3_conservative,R3_conservative,5,90,17.0152,4.2654,0.316014,0.397495,-26.6248,24,9,15,1170151.84
0.30,A4_xconservative,R1_aggressive,5,60,16.1355,4.0565,0.315536,0.395977,-20.2208,35,16,19,1161354.76
0.70,A6_wide,R3_conservative,3,90,17.6750,4.4214,0.313398,0.398160,-28.9619,34,16,18,1176749.51
0.60,A1_aggressive,R4_xconservative,7,90,17.1257,4.2916,0.312969,0.399349,-28.9619,26,13,13,1171257.02
0.50,A6_wide,R3_conservative,5,90,16.6834,4.1868,0.312299,0.398215,-28.9619,33,15,18,1166834.49
0.60,A5_narrow,R3_conservative,5,90,16.8916,4.2361,0.311791,0.393330,-28.9619,26,11,15,1168915.95
0.40,A4_xconservative,R2_standard,5,60,16.3104,4.0981,0.311493,0.391814,-21.3762,34,16,18,1163103.56
0.70,A3_conservative,R4_xconservative,3,90,16.7222,4.1960,0.310681,0.390230,-26.5715,25,9,16,1167222.39
0.30,A6_wide,R4_xconservative,7,90,15.8925,3.9986,0.310533,0.390472,-28.9619,29,14,15,1158925.49
0.70,A5_narrow,R4_xconservative,5,90,17.3604,4.3471,0.310497,0.391835,-28.9619,25,11,14,1173603.80
0.70,A3_conservative,R3_conservative,3,90,16.6964,4.1898,0.310433,0.389391,-26.5715,24,9,15,1166964.12
0.40,A4_xconservative,R1_aggressive,5,60,16.2199,4.0766,0.310313,0.389342,-21.3762,35,16,19,1162199.22
0.60,A6_wide,R3_conservative,3,90,17.0141,4.2652,0.309951,0.395295,-28.9619,34,16,18,1170141.42
0.70,A6_wide,R2_standard,5,90,17.2870,4.3298,0.309366,0.393203,-28.9619,35,15,20,1172870.18
0.50,A4_xconservative,R6_wide,5,60,16.4969,4.1425,0.309279,0.389428,-22.5126,36,16,20,1164969.37
0.40,A4_xconservative,R5_narrow,5,60,16.1628,4.0630,0.308286,0.391167,-21.3762,30,16,14,1161628.00
0.70,A4_xconservative,R4_xconservative,3,90,16.4085,4.1215,0.307964,0.382497,-26.5779,26,10,16,1164084.78
0.70,A4_xconservative,R3_conservative,3,90,16.3828,4.1153,0.307715,0.381671,-26.5779,25,10,15,1163827.74
0.70,A6_wide,R4_xconservative,3,90,17.3518,4.3451,0.307699,0.391993,-28.9619,35,16,19,1173518.33
0.70,A4_xconservative,R4_xconservative,5,90,16.4425,4.1295,0.307684,0.384620,-26.6311,23,9,14,1164425.22
0.60,A4_xconservative,R3_conservative,5,90,15.6731,3.9462,0.307674,0.385349,-25.8508,24,9,15,1156731.02
0.60,A3_conservative,R3_conservative,7,90,15.7905,3.9742,0.307613,0.388160,-25.7347,22,9,13,1157904.69
0.60,A5_narrow,R4_xconservative,3,90,16.6554,4.1801,0.306964,0.387070,-28.9619,28,12,16,1166553.99
0.60,A4_xconservative,R3_conservative,7,90,15.5736,3.9224,0.306877,0.382099,-25.7432,22,9,13,1155736.23
0.70,A6_wide,R4_xconservative,5,90,17.2936,4.3313,0.306514,0.391477,-28.9619,32,15,17,1172935.60
0.50,A1_aggressive,R4_xconservative,7,90,16.3238,4.1013,0.306305,0.390764,-28.9619,26,13,13,1163238.14
0.60,A5_narrow,R3_conservative,3,90,16.5740,4.1608,0.305849,0.384995,-28.9619,27,12,15,1165740.18
0.60,A6_wide,R4_xconservative,3,90,16.7880,4.2116,0.305590,0.390889,-28.9619,35,16,19,1167880.26
0.60,A5_narrow,R3_conservative,7,90,16.4875,4.1402,0.305240,0.383040,-28.9619,24,11,13,1164875.26
0.40,A6_wide,R3_conservative,7,90,15.8806,3.9957,0.305143,0.385324,-28.9619,30,14,16,1158805.59
0.50,A6_wide,R3_conservative,3,90,16.3283,4.1024,0.304832,0.389155,-28.9619,34,16,18,1163283.06
0.50,A4_xconservative,R1_aggressive,5,60,16.2859,4.0923,0.304703,0.382073,-22.5126,35,16,19,1162859.40
0.60,A6_wide,R4_xconservative,5,90,16.6841,4.1869,0.303935,0.389404,-28.9619,32,15,17,1166840.82
0.40,A6_wide,R3_conservative,5,90,15.8220,3.9817,0.302909,0.385268,-28.9619,33,15,18,1158220.03
0.70,A3_conservative,R4_xconservative,5,90,16.3274,4.1022,0.302703,0.382464,-26.6248,23,9,14,1163274.42
0.60,A6_wide,R2_standard,5,90,16.4425,4.1295,0.302686,0.385971,-28.9619,35,15,20,1164425.02
0.50,A6_wide,R4_xconservative,3,90,16.1973,4.0712,0.301950,0.386762,-28.9619,35,16,19,1161973.06
0.60,A3_conservative,R3_conservative,5,90,15.5258,3.9110,0.301841,0.382225,-25.8425,24,9,15,1155257.89
0.60,A5_narrow,R4_xconservative,5,90,16.3642,4.1109,0.301537,0.381870,-28.9619,25,11,14,1163641.55
0.30,A1_aggressive,R4_xconservative,3,90,15.5998,3.9287,0.301447,0.384839,-28.9619,31,14,17,1155998.16
0.30,A1_aggressive,R3_conservative,3,90,15.5463,3.9159,0.301029,0.382008,-28.9619,30,14,16,1155463.11
0.50,A6_wide,R4_xconservative,5,90,16.0474,4.0355,0.299762,0.384023,-28.9619,32,15,17,1160474.26
0.70,A6_wide,R2_standard,7,90,16.6056,4.1683,0.299308,0.378003,-28.9619,32,14,19,1166056.26
0.70,A6_wide,R5_narrow,7,90,16.6897,4.1883,0.299081,0.376863,-28.9619,29,14,15,1166896.98
0.60,A4_xconservative,R1_aggressive,5,60,16.3334,4.1036,0.298894,0.375537,-23.6306,35,16,19,1163333.84
0.70,A5_narrow,R5_narrow,5,90,16.5395,4.1526,0.298827,0.373325,-28.9619,25,11,14,1165395.09
0.50,A5_narrow,R3_conservative,5,90,15.7381,3.9617,0.298411,0.376720,-28.9619,26,11,15,1157381.32
0.40,A6_wide,R3_conservative,3,90,15.6183,3.9331,0.297785,0.379298,-28.9619,34,16,18,1156183.27
0.70,A6_wide,R5_narrow,5,90,16.6299,4.1741,0.297665,0.376170,-28.9619,31,15,16,1166299.43
0.40,A1_aggressive,R4_xconservative,7,90,15.4957,3.9038,0.297413,0.377790,-28.9619,26,13,13,1154957.23
0.50,A4_xconservative,R2_standard,5,60,15.8656,3.9922,0.296542,0.373662,-22.5126,34,16,18,1158656.29
0.40,A6_wide,R4_xconservative,3,90,15.5805,3.9241,0.296517,0.379450,-28.9619,35,16,19,1155805.04
0.60,A3_conservative,R4_xconservative,3,90,15.2382,3.8422,0.296092,0.374304,-25.7729,25,9,16,1152382.25
0.70,A4_xconservative,R5_narrow,5,90,15.6570,3.9424,0.295797,0.365960,-26.6311,23,9,14,1156570.09
0.60,A4_xconservative,R4_xconservative,5,90,15.1123,3.8120,0.295617,0.371544,-25.8508,23,9,14,1151123.12
0.40,A1_aggressive,R3_conservative,3,90,15.5110,3.9075,0.295610,0.377726,-28.9619,30,14,16,1155110.37
0.60,A3_conservative,R3_conservative,3,90,15.1961,3.8321,0.295478,0.372944,-25.7729,24,9,15,1151961.21
0.60,A4_xconservative,R6_wide,5,60,16.0919,4.0461,0.295324,0.372043,-23.6306,36,16,20,1160919.41
0.60,A6_wide,R5_narrow,5,90,16.0602,4.0386,0.294896,0.374578,-28.9619,31,15,16,1160602.25
0.40,A1_aggressive,R4_xconservative,3,90,15.4731,3.8984,0.294346,0.377871,-28.9619,31,14,17,1154730.52
0.50,A6_wide,R2_standard,5,90,15.5752,3.9228,0.294036,0.374843,-28.9619,35,15,20,1155751.52
0.60,A6_wide,R5_narrow,7,90,15.9603,4.0147,0.293792,0.371671,-28.9619,29,14,15,1159602.84
0.40,A6_wide,R4_xconservative,5,90,15.3844,3.8772,0.293708,0.375092,-28.9619,32,15,17,1153844.44
0.50,A5_narrow,R4_xconservative,3,90,15.5212,3.9099,0.293574,0.370765,-28.9619,28,12,16,1155211.85
0.70,A6_wide,R1_aggressive,5,90,16.2752,4.0897,0.293415,0.370731,-28.9619,35,14,21,1162751.76
0.70,A4_xconservative,R1_aggressive,5,60,16.3621,4.1104,0.293034,0.367657,-24.7545,35,16,19,1163621.14
0.50,A4_xconservative,R3_conservative,5,60,15.6854,3.9491,0.292992,0.371101,-22.5126,32,16,16,1156853.72
0.50,A5_narrow,R3_conservative,3,90,15.4148,3.8844,0.291924,0.367755,-28.9619,27,12,15,1154147.95
0.30,A6_wide,R3_conservative,5,90,14.9393,3.7705,0.291131,0.367002,-28.9619,33,15,18,1149392.58
0.70,A3_conservative,R5_narrow,5,90,15.5427,3.9150,0.290877,0.363778,-26.6248,23,9,14,1155426.72
0.50,A6_wide,R5_narrow,5,90,15.4669,3.8969,0.290654,0.369029,-28.9619,31,15,16,1154668.63
