core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A4_xconservative,R4_xconservative,3,90,18.4886,15.9428,0.728518,0.728322,-16.5029,10,3,7,1184885.50
0.70,A4_xconservative,R4_xconservative,7,90,18.3832,15.8529,0.725468,0.723399,-16.5364,9,3,6,1183832.01
0.70,A4_xconservative,R4_xconservative,5,90,17.9729,15.5027,0.711849,0.709874,-16.5048,10,3,7,1179728.65
0.60,A4_xconservative,R4_xconservative,3,90,17.0878,14.7467,0.701738,0.699394,-16.0753,10,3,7,1170878.15
0.60,A4_xconservative,R4_xconservative,7,90,16.9773,14.6523,0.698565,0.694101,-16.1202,9,3,6,1169773.32
0.70,A4_xconservative,R3_conservative,5,90,17.4846,15.0857,0.696117,0.692168,-16.5048,10,3,7,1174846.27
0.70,A4_xconservative,R3_conservative,3,90,17.3992,15.0127,0.693302,0.689035,-16.5029,11,3,8,1173991.60
0.70,A4_xconservative,R2_standard,3,90,17.3413,14.9634,0.692565,0.686939,-16.5029,11,3,8,1173413.47
0.70,A4_xconservative,R3_conservative,7,90,17.3202,14.9453,0.691274,0.686821,-16.5364,10,3,7,1173202.10
0.60,A4_xconservative,R4_xconservative,5,90,16.6773,14.3958,0.687796,0.683698,-16.0777,10,3,7,1166772.69
0.70,A4_xconservative,R2_standard,7,90,17.0359,14.7024,0.682904,0.679476,-16.5364,9,3,6,1170359.03
0.50,A4_xconservative,R4_xconservative,3,90,15.6978,13.5580,0.671591,0.664762,-15.6461,10,3,7,1156977.82
0.60,A4_xconservative,R3_conservative,5,90,16.1817,13.9720,0.670928,0.663004,-16.0777,10,3,7,1161816.90
0.70,A4_xconservative,R2_standard,5,90,16.6458,14.3689,0.669574,0.666667,-16.5048,9,3,6,1166457.61
0.50,A4_xconservative,R4_xconservative,7,90,15.5822,13.4591,0.668245,0.661070,-15.7027,9,3,6,1155822.44
0.60,A4_xconservative,R3_conservative,3,90,16.0824,13.8871,0.667462,0.659367,-16.0753,11,3,8,1160823.61
0.60,A4_xconservative,R2_standard,3,90,16.0337,13.8454,0.666678,0.657395,-16.0753,11,3,8,1160336.83
0.60,A4_xconservative,R3_conservative,7,90,15.9938,13.8113,0.665129,0.656586,-16.1202,10,3,7,1159938.39
0.50,A4_xconservative,R4_xconservative,5,90,15.3902,13.2947,0.660640,0.654077,-15.6489,10,3,7,1153902.11
0.70,A4_xconservative,R5_narrow,3,90,16.2885,14.0634,0.658529,0.650402,-16.5029,11,3,8,1162884.87
0.60,A4_xconservative,R2_standard,7,90,15.7520,13.6044,0.657515,0.650128,-16.1202,9,3,6,1157519.97
0.70,A4_xconservative,R5_narrow,7,90,16.2465,14.0274,0.657489,0.651190,-16.5364,9,3,6,1162464.81
0.60,A4_xconservative,R2_standard,5,90,15.4687,13.3619,0.647076,0.640430,-16.0777,9,3,6,1154686.73
0.70,A4_xconservative,R5_narrow,5,90,15.9394,13.7648,0.646727,0.643295,-16.5048,9,3,6,1159394.40
0.50,A4_xconservative,R3_conservative,5,90,14.8896,12.8660,0.642665,0.632497,-15.6489,10,3,7,1148896.01
0.70,A3_conservative,R4_xconservative,3,90,15.9197,13.7479,0.642293,0.642698,-16.5070,10,3,7,1159197.42
0.50,A4_xconservative,R3_conservative,3,90,14.7768,12.7694,0.638509,0.628314,-15.6461,11,3,8,1147767.86
0.50,A4_xconservative,R2_standard,3,90,14.7369,12.7352,0.637711,0.626524,-15.6461,11,3,8,1147369.43
0.40,A4_xconservative,R4_xconservative,3,90,14.3184,12.3765,0.637659,0.618812,-15.2153,10,3,7,1143184.07
0.70,A4_xconservative,R1_aggressive,7,90,15.6028,13.4767,0.636277,0.631545,-16.5364,9,3,6,1156028.10
0.60,A4_xconservative,R5_narrow,3,90,15.1403,13.0807,0.636237,0.624780,-16.0753,11,3,8,1151402.95
0.50,A4_xconservative,R3_conservative,7,90,14.6791,12.6856,0.635825,0.624938,-15.7027,10,3,7,1146790.68
0.60,A4_xconservative,R5_narrow,7,90,15.0820,13.0308,0.634755,0.624840,-16.1202,9,3,6,1150820.48
0.40,A4_xconservative,R4_xconservative,7,90,14.1979,12.2732,0.634081,0.612677,-15.2837,9,3,6,1141978.95
0.70,A5_narrow,R4_xconservative,3,90,16.3016,14.0746,0.633708,0.634520,-17.7765,10,3,7,1163015.72
0.70,A3_conservative,R4_xconservative,7,90,15.5882,13.4642,0.631572,0.630251,-16.4980,9,3,6,1155881.58
0.40,A4_xconservative,R4_xconservative,5,90,14.1117,12.1993,0.629974,0.611394,-15.2186,10,3,7,1141116.69
0.50,A4_xconservative,R2_standard,7,90,14.4791,12.5142,0.629093,0.619471,-15.7027,9,3,6,1144790.70
0.60,A4_xconservative,R5_narrow,5,90,14.8685,12.8479,0.626619,0.619635,-16.0777,9,3,6,1148685.09
0.70,A4_xconservative,R6_wide,3,90,15.2704,13.1921,0.625036,0.618170,-16.5029,12,3,9,1152703.65
0.60,A3_conservative,R4_xconservative,3,90,14.8700,12.8492,0.623476,0.622105,-16.0805,10,3,7,1148700.44
0.70,A5_narrow,R4_xconservative,7,90,15.9640,13.7858,0.623355,0.622421,-17.7765,8,2,6,1159639.66
0.70,A4_xconservative,R1_aggressive,3,90,15.2035,13.1349,0.622644,0.615988,-16.5029,12,3,9,1152035.41
0.50,A4_xconservative,R2_standard,5,90,14.3004,12.3611,0.621841,0.613108,-15.6489,9,3,6,1143004.05
0.70,A4_xconservative,R6_wide,7,90,15.1349,13.0761,0.620769,0.617819,-16.5364,9,3,6,1151349.44
0.70,A3_conservative,R4_xconservative,5,90,15.1351,13.0763,0.616470,0.615251,-16.4996,10,3,7,1151350.83
0.70,A4_xconservative,R6_wide,5,90,14.9519,12.9193,0.614313,0.609758,-16.5048,10,3,7,1149518.54
0.60,A5_narrow,R4_xconservative,3,90,15.3773,13.2837,0.612234,0.611639,-17.7765,10,3,7,1153773.31
0.50,A4_xconservative,R5_narrow,3,90,14.0000,12.1035,0.611263,0.596302,-15.6461,11,3,8,1139999.52
