ticker,name,market,fund_type,is_leveraged_inverse,issuer,tracked_index,inception_date,listing_date,data_start_date,category_raw,twse_levinv_flag,units_issued,full_name,en_name,source
00647L,元大S&amp;P500正2,TWSE,leveraged,True,劉宗聖,標普500 2倍槓桿指數,2015-12-02,2015-12-14,2024-01-01,槓桿/反向指數股票型基金,是,6416000,元大標普500傘型證券投資信託基金之標普500單日正向2倍證券投資信託基金,Yuanta Daily S&amp;P 500 Bull 2X ETF,twse_opendata
00648R,元大S&amp;P500反1,TWSE,leveraged,True,劉宗聖,標普500反向指數,2015-12-02,2015-12-14,2024-01-01,槓桿/反向指數股票型基金,是,146688000,元大標普500傘型證券投資信託基金之標普500單日反向1倍證券投資信託基金,Yuanta Daily S&amp;P 500 Bear 1X ETF,twse_opendata
00649,FH香港,TWSE,passive_equity,False,杜俊雄,恒生指數,2016-01-13,2016-01-27,2024-01-01,國外成分證券指數股票型基金,是,4272000,復華香港ETF傘型證券投資信託基金之復華恒生證券投資信託基金,Fuh Hwa Hang Seng ETF,twse_opendata
00650L,復華香港正2,TWSE,leveraged,True,杜俊雄,恒指槓桿指數,2016-01-13,2016-01-27,2024-01-01,槓桿/反向指數股票型基金,是,121338000,復華香港ETF傘型證券投資信託基金之復華恒生單日正向二倍證券投資信託基金,Fuh Hwa Daily Hang Seng Leveraged 2X ETF,twse_opendata
00651R,復華香港反1,TWSE,leveraged,True,杜俊雄,恒指短倉指數,2016-01-13,2016-01-27,2024-01-01,槓桿/反向指數股票型基金,是,33192000,復華香港ETF傘型證券投資信託基金之復華恒生單日反向一倍證券投資信託基金,Fuh Hwa Daily Hang Seng Inversed ETF,twse_opendata
00652,富邦印度,TWSE,passive_equity,False,黃昭棠,NIFTY指數,2016-03-16,2016-03-29,2024-01-01,國外成分證券指數股票型基金,是,68035000,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY證券投資信託基金,Fubon NIFTY ETF,twse_opendata
00653L,富邦印度正2,TWSE,leveraged,True,黃昭棠,NIFTY正向2倍指數,2016-03-16,2016-03-29,2024-01-01,槓桿/反向指數股票型基金,是,18403000,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日正向兩倍證券投資信託基金,Fubon NIFTY 2X Leveraged Index ETF,twse_opendata
00654R,富邦印度反1,TWSE,leveraged,True,黃昭棠,NIFTY反向1倍指數,2016-03-16,2016-03-29,2024-01-01,槓桿/反向指數股票型基金,是,19466000,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日反向一倍證券投資信託基金,Fubon NIFTY -1 Inverse Index ETF,twse_opendata
00655L,國泰中國A50正2,TWSE,leveraged,True,李偉正,富時中國A50兩倍槓桿指數,2016-03-08,2016-03-18,2024-01-01,槓桿/反向指數股票型基金,是,72458000,國泰A50傘型證券投資信託基金之富時中國A50單日正向2倍證券投資信託基金,Cathay FTSE China A50 Daily Leveraged 2X ETF,twse_opendata
00656R,國泰中國A50反1,TWSE,leveraged,True,李偉正,富時中國A50反向指數,2016-03-08,2016-03-18,2024-01-01,槓桿/反向指數股票型基金,是,20357000,國泰A50傘型證券投資信託基金之富時中國A50單日反向1倍證券投資信託基金,Cathay FTSE China A50 Daily Inversed  ETF,twse_opendata
