config,date,plan,return_3m_pct,max_dd_3m_pct,end_deployed_pct,fully_deployed_day
hot_near_high,2025-10-07,time_10_monthly,11.741726222896443,-6.165777125485028,40.0,63
hot_near_high,2025-10-07,time_5_weekly,13.16925545256864,-6.394017862214774,40.0,49
hot_near_high,2025-10-07,dip_3_6_10_time,13.372699938268816,-6.398975576495269,40.0,42
hot_near_high,2025-10-07,dip_5_10_15_or_end,10.563097132839005,-5.1279588099565565,40.0,63
hot_near_high,2025-10-07,wait_20d_then_all,12.465555602758549,-7.212475537438001,40.0,20
hot_near_high,2025-10-07,wait_40d_then_all,13.24894287501548,-4.9110666556263505,40.0,40
hot_near_high,2026-01-08,immediate_40,24.413450021566696,-10.844119391607743,40.0,0
hot_near_high,2026-01-08,cash_wait,14.648070012940039,-6.916452053832078,0.0,-1
hot_near_high,2026-01-08,time_10_monthly,20.36626125858445,-9.355935242654445,40.0,63
hot_near_high,2026-01-08,time_5_weekly,21.144364724872933,-9.878388747862344,40.0,49
hot_near_high,2026-01-08,dip_3_6_10_time,22.144254597114287,-9.787757247863105,40.0,34
hot_near_high,2026-01-08,dip_5_10_15_or_end,19.238736697252268,-7.731021807767102,40.0,63
hot_near_high,2026-01-08,wait_20d_then_all,22.42584779071779,-10.844119391607743,40.0,20
hot_near_high,2026-01-08,wait_40d_then_all,19.527390711173442,-8.948327128053691,40.0,40
stretch_only,2019-11-05,immediate_40,2.971452794041962,-6.750999092276855,40.0,0
stretch_only,2019-11-05,cash_wait,1.7828716764251684,-4.146481579784911,0.0,-1
stretch_only,2019-11-05,time_10_monthly,2.3081700222557844,-6.108931493509573,40.0,63
stretch_only,2019-11-05,time_5_weekly,2.151623211897613,-6.750999092276855,40.0,49
stretch_only,2019-11-05,dip_3_6_10_time,2.9328585214845715,-5.504166588689319,40.0,54
stretch_only,2019-11-05,dip_5_10_15_or_end,2.3542996396766824,-4.178900541187325,40.0,63
stretch_only,2019-11-05,wait_20d_then_all,3.3517897778011285,-6.750999092276855,40.0,20
stretch_only,2019-11-05,wait_40d_then_all,1.2508387609470484,-6.750999092276844,40.0,40
stretch_only,2020-07-30,immediate_40,-1.0091257917405505,-5.725014243352411,40.0,0
stretch_only,2020-07-30,cash_wait,-0.6054754750443259,-3.467552260201734,0.0,-1
stretch_only,2020-07-30,time_10_monthly,-0.6862695584620937,-4.602204401462862,40.0,63
stretch_only,2020-07-30,time_5_weekly,-1.1319449453992991,-5.113537022940684,40.0,49
stretch_only,2020-07-30,dip_3_6_10_time,-0.43030488082125284,-4.830546486415477,40.0,63
stretch_only,2020-07-30,dip_5_10_15_or_end,-0.22468583576066292,-3.467552260201745,40.0,63
stretch_only,2020-07-30,wait_20d_then_all,-1.1984889646425523,-5.725014243352411,40.0,20
stretch_only,2020-07-30,wait_40d_then_all,0.4099635630455012,-3.828198501778124,40.0,40
stretch_only,2020-11-17,immediate_40,22.73212206962658,-8.395841355603572,40.0,0
stretch_only,2020-11-17,cash_wait,13.639273241775962,-5.488899225584964,0.0,-1
stretch_only,2020-11-17,time_10_monthly,17.970276798297036,-7.700474621721575,40.0,63
stretch_only,2020-11-17,time_5_weekly,19.293394008827992,-8.195341077339746,40.0,49
stretch_only,2020-11-17,dip_3_6_10_time,16.96803079622633,-7.7381251235631225,40.0,49
stretch_only,2020-11-17,dip_5_10_15_or_end,15.011031001374842,-5.943357520316606,40.0,63
stretch_only,2020-11-17,wait_20d_then_all,21.28513803808465,-8.395841355603562,40.0,20
stretch_only,2020-11-17,wait_40d_then_all,14.858401979969393,-8.395841355603572,40.0,40
stretch_only,2021-02-24,immediate_40,0.4763768279787417,-10.44248112522148,40.0,0
stretch_only,2021-02-24,cash_wait,0.285826096787245,-6.351829179317836,0.0,-1
stretch_only,2021-02-24,time_10_monthly,0.2892198656651246,-9.388204870118189,40.0,63
stretch_only,2021-02-24,time_5_weekly,0.6311171104778523,-10.162334110906512,40.0,49
stretch_only,2021-02-24,dip_3_6_10_time,1.1855113904902792,-9.624533542767399,40.0,50
stretch_only,2021-02-24,dip_5_10_15_or_end,1.8486305298435202,-7.211188217148779,40.0,63
stretch_only,2021-02-24,wait_20d_then_all,1.8470236735276702,-10.44248112522148,40.0,20
stretch_only,2021-02-24,wait_40d_then_all,-0.8893999882888748,-10.44248112522148,40.0,40
stretch_only,2024-04-09,immediate_40,21.07197599224491,-7.840737741226778,40.0,0
stretch_only,2024-04-09,cash_wait,12.643185595346917,-4.704442644736073,0.0,-1
stretch_only,2024-04-09,time_10_monthly,18.49979409443918,-5.4885164188587465,40.0,63
stretch_only,2024-04-09,time_5_weekly,19.96503734545403,-5.363859226968726,40.0,49
stretch_only,2024-04-09,dip_3_6_10_time,22.39577272962552,-5.617200228930108,40.0,42
stretch_only,2024-04-09,dip_5_10_15_or_end,17.290301008192444,-4.749176183430482,40.0,63
stretch_only,2024-04-09,wait_20d_then_all,21.840445857407786,-4.704442644736073,40.0,20
stretch_only,2024-04-09,wait_40d_then_all,19.57699091802858,-4.704442644736073,40.0,40
stretch_only,2024-07-09,immediate_40,-2.2096453608976163,-21.301502882984302,40.0,0
stretch_only,2024-07-09,cash_wait,-1.3257872165385765,-12.91080585162786,0.0,-1
stretch_only,2024-07-09,time_10_monthly,0.565687496744971,-15.02443003329642,40.0,63
stretch_only,2024-07-09,time_5_weekly,0.8778494325251129,-15.391620408586737,40.0,49
stretch_only,2024-07-09,dip_3_6_10_time,-0.3892653289228609,-18.8787557330659,40.0,21
stretch_only,2024-07-09,dip_5_10_15_or_end,1.8843092066674005,-17.173448901594668,40.0,17
stretch_only,2024-07-09,wait_20d_then_all,3.775353754435895,-12.91080585162786,40.0,20
stretch_only,2024-07-09,wait_40d_then_all,3.3172768888092286,-12.91080585162786,40.0,40
stretch_only,2025-10-29,immediate_40,16.843594252264317,-8.030889760978056,40.0,0
stretch_only,2025-10-29,cash_wait,10.10615655135858,-4.828974833348953,0.0,-1
stretch_only,2025-10-29,time_10_monthly,15.478930399104085,-5.630753741054296,40.0,63
stretch_only,2025-10-29,time_5_weekly,17.38309078240514,-5.543116322758079,40.0,49
stretch_only,2025-10-29,dip_3_6_10_time,18.191678249572174,-6.016530380726226,40.0,42
stretch_only,2025-10-29,dip_5_10_15_or_end,13.777937667691598,-5.0515740651593255,40.0,63
stretch_only,2025-10-29,wait_20d_then_all,19.167139422652113,-4.828974833348953,40.0,20
stretch_only,2025-10-29,wait_40d_then_all,17.24619185473262,-4.828974833348953,40.0,40
stretch_only,2026-01-28,immediate_40,30.52560978092531,-10.844119391607732,40.0,0
stretch_only,2026-01-28,cash_wait,18.315365868555176,-6.737274277931893,0.0,-1
stretch_only,2026-01-28,time_10_monthly,26.24072438866638,-8.146730006285875,40.0,63
stretch_only,2026-01-28,time_5_weekly,28.535735847080133,-8.804860839030958,40.0,49
stretch_only,2026-01-28,dip_3_6_10_time,30.831123864074538,-9.189564005957918,40.0,21
stretch_only,2026-01-28,dip_5_10_15_or_end,27.270086980118812,-7.58900420462949,40.0,63
stretch_only,2026-01-28,wait_20d_then_all,30.951235695740074,-7.48081675500959,40.0,20
stretch_only,2026-01-28,wait_40d_then_all,27.229508396824897,-6.737274277931893,40.0,40
warm_near_high,2016-07-28,immediate_40,5.141172592200305,-4.732093417481719,40.0,0
warm_near_high,2016-07-28,cash_wait,3.0847035553201785,-2.8842152300576185,0.0,-1
warm_near_high,2016-07-28,time_10_monthly,4.180800492388781,-3.8140261490097083,40.0,63
warm_near_high,2016-07-28,time_5_weekly,4.299243183274815,-4.043542692006885,40.0,49
warm_near_high,2016-07-28,dip_3_6_10_time,4.374098194681131,-3.5927904660612464,40.0,63
warm_near_high,2016-07-28,dip_5_10_15_or_end,3.0847035553201785,-2.8842152300576185,40.0,63
warm_near_high,2016-07-28,wait_20d_then_all,4.570407502050533,-4.732093417481709,40.0,20
warm_near_high,2016-07-28,wait_40d_then_all,3.9860957090604776,-2.8842152300576185,40.0,40
warm_near_high,2017-02-14,immediate_40,3.620214901293961,-2.8037410991634815,40.0,0
warm_near_high,2017-02-14,cash_wait,2.1721289407763855,-1.6976572076339957,0.0,-1
warm_near_high,2017-02-14,time_10_monthly,3.203107589081,-2.252622536317861,40.0,63
warm_near_high,2017-02-14,time_5_weekly,3.387738674375518,-2.4416185143073865,40.0,49
warm_near_high,2017-02-14,dip_3_6_10_time,2.851918249676033,-2.086538676181493,40.0,63
