config,plan,n,avg_return_3m_pct,median_return_3m_pct,win_rate,avg_max_dd_3m_pct,worst_max_dd_3m_pct,avg_fully_deployed_day
hot_near_high,immediate_40,8,7.8921812659728054,7.422234487149925,62.5,-9.777081486760402,-21.30150288298428,0.0
hot_near_high,dip_3_6_10_time,8,7.1744649507690585,6.578855424917917,62.5,-8.430596784802407,-20.225750225816142,41.125
hot_near_high,time_5_weekly,8,6.929056371358275,6.399920232681577,62.5,-8.181479882008109,-17.800680523659295,49.0
hot_near_high,wait_20d_then_all,8,6.745467240896618,6.3458598519828815,62.5,-9.03354935656697,-20.347765146717634,20.0
hot_near_high,time_10_monthly,8,6.464111651684784,6.1343657008192665,62.5,-7.809582759996985,-17.16510216726309,63.0
hot_near_high,dip_5_10_15_or_end,8,6.205052358153589,5.8840167433710455,62.5,-6.994762011141465,-18.25365909343024,59.25
hot_near_high,wait_40d_then_all,8,6.547740313873595,5.481230954158756,62.5,-6.655134883309284,-13.381502000496958,40.0
hot_near_high,cash_wait,8,4.735308759583683,4.453340692289953,62.5,-6.072762422184426,-13.381502000496958,
momentum_near_high,immediate_40,11,7.427674642133566,6.188076182357394,63.63636363636363,-9.312621870552881,-21.30150288298429,0.0
momentum_near_high,time_10_monthly,11,5.708761280593906,4.042647578565961,63.63636363636363,-7.7838216683119095,-18.635027021365914,63.0
momentum_near_high,cash_wait,11,4.45660478528014,3.7128457094144363,63.63636363636363,-5.827387636835531,-13.6392852018826,
momentum_near_high,wait_40d_then_all,11,5.101413048683791,3.6906927174789717,63.63636363636363,-7.45444379165592,-17.991177352925025,40.0
momentum_near_high,time_5_weekly,11,5.616341805376847,3.408809553776737,63.63636363636363,-8.337317426163638,-19.767029848186034,49.0
momentum_near_high,dip_3_6_10_time,11,5.9284866626883606,3.2806173524570825,72.72727272727273,-8.192597204841684,-20.41805844930302,44.45454545454545
momentum_near_high,dip_5_10_15_or_end,11,5.271126462604346,3.2333848853689284,72.72727272727273,-6.800788576465219,-18.352861472451675,61.27272727272727
momentum_near_high,wait_20d_then_all,11,5.763098406286678,3.1364458748446733,72.72727272727273,-8.883668201886335,-21.30150288298429,20.0
near_high_positive_momentum,wait_20d_then_all,25,6.478573410280373,4.568326759573504,88.0,-7.5722481684482235,-26.80694878803588,20.0
near_high_positive_momentum,immediate_40,25,7.401168024602107,4.280621467216306,84.0,-8.41291153840728,-28.21764741880557,0.0
near_high_positive_momentum,dip_3_6_10_time,25,6.379379906754659,3.219937604524703,92.0,-7.20195438823486,-26.53456272834006,50.0
near_high_positive_momentum,dip_5_10_15_or_end,25,5.441890189110962,3.10152204889127,92.0,-6.076153889002906,-24.98818322930749,59.92
near_high_positive_momentum,wait_40d_then_all,25,5.758676135450692,2.9412129198333803,84.0,-6.616998593853778,-25.17546167992274,40.0
near_high_positive_momentum,time_10_monthly,25,6.036918378783492,2.8948572814180507,88.0,-6.8771585813139415,-23.965429157036823,63.0
near_high_positive_momentum,time_5_weekly,25,6.501539507705834,2.7732272674667158,92.0,-7.24914986706344,-25.446095337421927,49.0
