config,date,close,z,stretch,ret30,ret60,dist_high
similar_now_strict,2026-01-28,32803.8203125,2.286884295352924,30.917377581103377,17.71590621811674,15.773055101186916,0.0
hot_near_high,2020-07-28,12586.73046875,1.7326721076173173,11.452522633879326,10.120700507396485,14.506646306473803,-0.01246662346662264
hot_near_high,2020-12-07,14256.599609375,2.334058440762194,19.76089742036784,10.43896642422746,13.070619538747263,0.0
hot_near_high,2021-04-26,17572.2890625,1.9165024937119044,24.459738488235505,10.436485603198808,12.524658119414923,0.0
hot_near_high,2023-06-14,17238.140625,1.5913448628800717,15.194529833100766,10.831904076502518,13.251459106054252,0.0
hot_near_high,2024-03-07,19693.51953125,1.6761837532834272,15.15821257920722,12.234120943386738,12.932244004688398,0.0
hot_near_high,2024-06-14,22504.720703125,1.8885750454409418,22.267240539198973,11.285884946226489,13.20367681510104,0.0
hot_near_high,2025-10-07,27211.94921875,1.5403422418524084,19.62321342274698,14.506860088289963,19.607552096501134,0.0
hot_near_high,2026-01-08,30360.55078125,1.7965055118147903,24.93013929867871,12.81346271737105,12.766323406716861,-0.7056118447536397
stretch_only,2019-11-05,11644.0302734375,1.8674742341489161,9.748916746359937,6.877932065054915,11.71037212284698,0.0
stretch_only,2020-07-30,12722.919921875,1.883785918968917,12.49168513566563,10.52222194604493,18.082413254322116,0.0
stretch_only,2020-11-17,13593.009765625,1.891283786386652,15.718320932944675,8.32567865414202,9.952325329995393,0.0
stretch_only,2021-02-24,16212.5302734375,2.2058068456050015,23.946130286966884,8.79410372918068,18.197795970064725,-1.4040290432818736
stretch_only,2024-04-09,20796.19921875,1.9148737569003262,18.865184347529194,10.30840011051919,16.480783273393595,0.0
stretch_only,2024-07-09,23900.080078125,2.0438910262437946,26.027671716898414,9.614440951921122,15.255703898720597,0.0
stretch_only,2025-10-29,28294.740234375,1.8110476300966578,22.701047465089587,12.210757430185982,20.185692940880728,0.0
stretch_only,2026-01-28,32803.8203125,2.286884295352924,30.917377581103377,17.71590621811674,15.773055101186916,0.0
warm_near_high,2016-07-28,9076.6181640625,1.419274090372461,7.405292344545411,6.8576742778609034,9.434731585485757,0.0
warm_near_high,2017-02-14,9718.7734375,1.2882537563415077,8.099201770405195,7.051126147809161,8.4958286659635,0.0
warm_near_high,2019-11-05,11644.0302734375,1.8674742341489161,9.748916746359937,6.877932065054915,11.71037212284698,0.0
warm_near_high,2020-07-03,11909.16015625,1.0114153299313091,6.608385105925696,9.180223046742908,19.134613346244244,-2.2221153171572583
warm_near_high,2020-11-17,13593.009765625,1.891283786386652,15.718320932944675,8.32567865414202,9.952325329995393,0.0
warm_near_high,2021-01-15,15616.3896484375,2.648663350573647,25.011891863447833,11.728477265391057,20.89767785518739,-0.9739442646543361
warm_near_high,2021-04-15,17076.73046875,1.7759568811485542,22.68318698875205,7.038640811655195,13.973052374985539,0.0
warm_near_high,2023-06-09,16886.400390625,1.368584209765355,13.0519921560039,9.57019816915723,8.521005034410202,-0.2132079761689054
warm_near_high,2024-02-23,18889.189453125,1.2903787233207769,11.385683457255347,7.573639652307862,8.454473582398347,0.0
warm_near_high,2024-05-28,21858.41015625,1.841458443403359,20.732062554719064,6.888295845326797,15.24582570709092,0.0
warm_near_high,2025-09-23,26247.369140625,1.1254507814114114,16.041343556220554,8.647150798604253,16.37711349767763,0.0
warm_near_high,2025-12-31,28963.599609375,1.2961985456921292,20.174084638964707,8.250376136942394,9.800480329246763,0.0
momentum_near_high,2011-01-04,8997.1494140625,0.8390530803452747,12.447909815074443,8.027284124385181,11.210708580893591,-0.31145228803926006
momentum_near_high,2016-08-08,9150.23828125,1.5487559080384532,8.003690393085993,8.17355436971865,12.854103712118725,0.0
momentum_near_high,2020-07-03,11909.16015625,1.0114153299313091,6.608385105925696,9.180223046742908,19.134613346244244,-2.2221153171572583
momentum_near_high,2020-12-02,13989.1396484375,2.1008716454103737,17.867506488534524,8.634527157875315,10.691523801274073,0.0
momentum_near_high,2021-02-02,15760.0498046875,2.194451570022889,22.86473545112846,9.559219125281327,20.05397942604401,-2.4373241539743185
momentum_near_high,2021-04-20,17323.869140625,1.865617221452243,23.698283928780395,8.911243771857901,11.355243892678747,0.0
momentum_near_high,2023-06-12,16955.369140625,1.4097595939881977,13.446985121095523,8.833516787980745,10.383500105219179,0.0
momentum_near_high,2024-03-04,19305.310546875,1.4841821269118218,13.275506680143657,10.533141930642142,11.325945631802782,0.0
momentum_near_high,2024-05-29,21662.5,1.7119497827716328,19.50312735814601,8.846058275507552,14.398924993367856,-0.8962690097293446
momentum_near_high,2025-09-16,25629.640625,0.8473107197567105,13.706173691215229,8.322069712772318,15.50731494558628,0.0
momentum_near_high,2026-01-05,30105.0390625,1.7803361381105123,24.513101808333857,9.766807365405207,10.631689117501942,0.0
near_high_positive_momentum,2010-12-06,8702.1904296875,0.5785146393860296,10.380971224478962,4.758069512421792,10.292904781887891,0.0
near_high_positive_momentum,2013-02-20,8029.0625,1.4209893725450926,7.964527179750713,4.977364472845536,12.391927093212086,-1.411344633467504
near_high_positive_momentum,2013-05-06,8169.01220703125,1.3937231415656772,7.541098007860225,4.757865416612295,6.470698969005517,0.0
near_high_positive_momentum,2013-09-23,8292.7900390625,0.823947303717963,4.417680270365265,4.6903831082396374,6.5258994165348305,-1.2622013631737539
near_high_positive_momentum,2014-06-11,9229.7578125,1.5430411981999277,8.285279516797296,4.768486156125928,6.240717834302978,0.0
near_high_positive_momentum,2015-02-25,9699.4951171875,0.555532634892418,5.701987152603483,7.196891939934313,6.68764911891746,0.0
near_high_positive_momentum,2016-07-26,9024.7685546875,1.323472282710996,6.896918002287489,5.231620034147411,6.50148694022219,-0.3507911185106183
near_high_positive_momentum,2017-02-10,9665.5830078125,1.22067418392714,7.635045508642624,5.012196092369892,8.07770105885508,0.0
near_high_positive_momentum,2017-06-26,10513.9599609375,1.4546308856552257,10.227063581999673,5.1240363243098,6.451478943879185,0.0
near_high_positive_momentum,2019-04-24,11027.6396484375,0.8934828799434319,6.476306697179135,7.583786533276005,12.457624122568745,-1.9917821811051617
near_high_positive_momentum,2019-11-01,11399.5302734375,1.4235948856239689,7.643244199045474,4.828086564324807,6.222473254012617,0.0
near_high_positive_momentum,2020-01-02,12100.48046875,1.83219484633879,10.395882868202545,4.034667665909697,10.657654774935942,-0.18123173292966532
near_high_positive_momentum,2020-07-06,12116.7001953125,1.3084678387591402,8.390631973544593,10.06867237808371,19.523910030172132,-0.5181474688555454
near_high_positive_momentum,2020-11-16,13551.830078125,1.860395987726117,15.440198627823909,8.27941824214058,6.050647415995036,0.0
near_high_positive_momentum,2021-01-14,15707.1904296875,2.806526454678257,26.04080342761217,12.28131839717459,21.976279327399094,-0.39816180614126173
near_high_positive_momentum,2021-03-29,16475.970703125,1.6173581042314045,20.657202193758884,4.467922638452215,16.212429790106842,0.0
near_high_positive_momentum,2021-06-23,17336.7109375,0.7520837115901937,15.548494157153891,4.544256959167492,8.137356823530117,-1.4730104590902071
near_high_positive_momentum,2023-05-29,16636.30078125,1.2406761762322969,11.98435778232061,4.437516644457706,7.304734773459187,-1.0201755187158823
near_high_positive_momentum,2023-12-15,17673.869140625,0.8424403646740622,7.139441619113596,7.06471679738454,6.236648541477163,0.0
near_high_positive_momentum,2024-02-23,18889.189453125,1.2903787233207769,11.385683457255347,7.573639652307862,8.454473582398347,0.0
near_high_positive_momentum,2024-05-14,20985.849609375,1.5924668385659215,17.305291457732675,4.165967848482133,15.969098522339742,0.0
near_high_positive_momentum,2024-07-12,23916.9296875,1.946798143916072,25.377634495406486,11.947162592993955,18.322560384956365,-1.9397254657484875
near_high_positive_momentum,2025-09-10,25192.58984375,0.6473331383312038,12.041522913402837,7.377417720237611,12.684589005373281,0.0
near_high_positive_momentum,2025-11-13,27903.560546875,1.3609213900114474,19.592237902010034,9.082138948978425,14.666760947324775,-1.5212124094680535
near_high_positive_momentum,2026-01-14,30941.779296875,1.9269153406900572,26.446245922108847,13.163559087459253,13.330015931967898,0.0
